year,qatari-males,qatari-females,qatari-aggregate,non-qatari-males,non-qatari-females,non-qatari-aggregate,male-aggregate,female-aggregate,overall-aggregate,degree,university,education-level
2023,178,381,559,18,12,30,196,393,589,Community College ,Community College ,Pre-University Diploma
2023,2,0,2,  ,0,9,11,0,11,Ras Laffan Emergency & Safety College ,Ras Laffan College ,Pre-University Diploma
2023,29,5,34,35,3,38,64,8,72,Qatar Aeronautical Academy,Qatar Aeronautical Academy,Pre-University Diploma
2023,60,8,68,87,47,134,147,55,202,University of Doha for Science and Technology,University of Doha for Science and Technology,Pre-University Diploma
2023,6,353,359,27,114,141,33,467,500,B.A in Education,Qatar University,Bachelor
2023,97,744,841,33,268,301,130,1012,1142,B.A in Art & science,Qatar University,Bachelor
2023,6,49,55,5,36,41,11,85,96,B.A in Sharia & Islamic Studies,Qatar University,Bachelor
2023,32,162,194,165,89,254,197,251,448,B.Sc. in Engineering,Qatar University,Bachelor
2023,125,543,668,58,129,187,183,672,855,B.Sc. in Administration & Economics,Qatar University,Bachelor
2023,68,249,317,9,46,55,77,295,372,B.Sc. in Law,Qatar University,Bachelor
2023,0,26,26,0,29,29,0,55,55,B.Sc in Health Sciences,Qatar University,Bachelor
2023,0,4,4,0,27,27,0,31,31,B.Sc. in Pharmacy,Qatar University,Bachelor
2023,3,21,24,10,19,29,13,40,53,B.Sc.in Medicine,Qatar University,Bachelor
2023,23,0,23,14,11,25,37,11,48,B.Sc. From Ras Laffan Emergency and Safety College,Ras Laffan College,Bachelor
2023,1,0,1,0,0,0,1,0,1,Bachelor of Applied Science in Maintenance Engineering Technology,University of Doha for Science and Technology,Bachelor
2023,4,6,10,21,31,52,25,37,62,Bachelor of Business Administration in Applied Accounting,University of Doha for Science and Technology,Bachelor
2023,1,0,1,5,9,14,6,9,15,Bachelor of Business Administration in Banking and Financial Technology,University of Doha for Science and Technology,Bachelor
2023,9,6,15,18,25,43,27,31,58,Bachelor of Business Administration in Digital Marketing,University of Doha for Science and Technology,Bachelor
2023,5,9,14,9,30,39,14,39,53,Bachelor of Business Administration in Human Resource Management,University of Doha for Science and Technology,Bachelor
2023,22,5,27,17,29,46,39,34,73,Bachelor of Science in Chemical Engineering - Processing Engineering,University of Doha for Science and Technology,Bachelor
2023,0,0,0,1,17,18,1,17,18,Bachelor of Science in Dental Hygiene,University of Doha for Science and Technology,Bachelor
2023,2,2,4,27,18,45,29,20,49,Bachelor of Science in Electrical Engineering - Telecommunications and Network Engineering,University of Doha for Science and Technology,Bachelor
2023,0,3,3,2,13,15,2,16,18,Bachelor of Science in Environmental Health,University of Doha for Science and Technology,Bachelor
2023,0,0,0,8,14,22,8,14,22,Bachelor of Science in Information Systems,University of Doha for Science and Technology,Bachelor
2023,4,4,8,14,6,20,18,10,28,Bachelor of Science in Information Technology,University of Doha for Science and Technology,Bachelor
2023,7,0,7,33,3,36,40,3,43,Bachelor of Science in Mechanical Engineering - Maintenance Engineering,University of Doha for Science and Technology,Bachelor
2023,0,2,2,4,41,45,4,43,47,Bachelor of Science in Medical Radiography,University of Doha for Science and Technology,Bachelor
2023,1,1,2,4,3,7,5,4,9,"Bachelor of Science in Occupational Health, Safety, and Environment",University of Doha for Science and Technology,Bachelor
2023,0,0,0,6,5,11,6,5,11,Bachelor of Science in Paramedicine,University of Doha for Science and Technology,Bachelor
2023,0,4,4,5,19,24,5,23,28,Bachelor of Science in Pharmacy Technology,University of Doha for Science and Technology,Bachelor
2023,0,0,0,5,30,35,5,30,35,Bachelor of Science in Respiratory Therapy,University of Doha for Science and Technology,Bachelor
2023,24,58,82,5,2,7,29,60,89,Bachelor of Arts in Public Administration,Community College,Bachelor
2023,16,13,29,3,2,5,19,15,34,Bachelor of Science in Information Technology - Cyber and Network Security Concentration,Community College,Bachelor
2023,0,8,8,0,0,0,0,8,8,Bachelor of Science in Electrical Engineering Technology,Community College,Bachelor
2023,39,27,66,2,0,2,41,27,68,Bachelor of Science in Logistics and Supply Chain Management,Community College,Bachelor
2023,12,2,14,0,1,1,12,3,15,Bachelor of Science in Mechanical Engineering Technology,Community College,Bachelor
2023,4,22,26,0,1,1,4,23,27,Bachelor of Human Resources Management ,Community College,Bachelor
2023,10,16,26,0,3,3,10,19,29,Bachelor of Project Management,Community College,Bachelor
2023,0,0,0,0,1,1,0,1,1,Diploma in Primary Education,Qatar University,Diploma
2023,0,3,3,0,3,3,0,6,6,Early Childhood Education,Qatar University,Diploma
2023,0,2,2,3,5,8,3,7,10,Primary Education,Qatar University,Diploma
